Year,BWA_education,BWA_life_expectancy,KEN_education,KEN_life_expectancy,NAM_education,NAM_life_expectancy,ZAF_education,ZAF_life_expectancy,ZWE_education,ZWE_life_expectancy,BWA_FAO_CP_23012,BWA_FAO_CP_23013,BWA_FAO_CP_23014,KEN_FAO_CP_23012,KEN_FAO_CP_23013,KEN_FAO_CP_23014,NAM_FAO_CP_23012,NAM_FAO_CP_23013,NAM_FAO_CP_23014,ZAF_FAO_CP_23012,ZAF_FAO_CP_23013,ZAF_FAO_CP_23014,ZWE_FAO_CP_23012,ZWE_FAO_CP_23013,ZWE_FAO_CP_23014
2011,17.51345062,59.715,,61.283,,56.647,,60.602,7.111226644,53.911,81.62433983333334,84.19329116666667,6.861026249999999,75.93570466666667,70.05171158333333,20.40766616666667,81.46491266666666,75.30483316666667,4.925472249999999,80.60826825,77.92173791666666,7.08178375,97.41689433333333,100.40912816666666,4.022698416666667
2012,21.66636086,60.384,,61.537,16.90486031,57.733,17.94472348,61.737,7.128741472,55.386,87.77628666666668,90.88189725000001,7.958012583333333,83.05678041666667,77.04202641666667,10.529271,86.94098216666667,82.11784308333334,9.065355666666667,85.23354791666667,83.50128958333333,7.191117916666666,101.04599175,105.02446091666667,4.6003222500000005
2013,26.33709908,61.217,,61.729,17.46039998,58.468,18.60882253,62.388,7.318736557,56.842,92.94157633333333,95.78710441666668,5.4232465,87.80554641666667,82.63218825,7.2937338333333335,91.81048141666668,87.44739783333334,6.513482,90.160191,88.21691058333333,5.666035916666666,102.69804366666666,106.79733475,1.70887
2014,24.83556485,62.167,,61.99,18.46530693,59.311,18.48133564,63.184,,58.106,97.03309958333334,98.68684891666668,3.0309079166666666,93.84494791666667,89.82820991666667,8.722540416666666,96.72249799999999,94.67919433333333,8.275044750000001,95.68956200000001,95.27234349999999,8.000521333333333,102.49492266666665,103.50066875,-3.082368916666667
2015,26.86929255,63.215,9.253194962,62.279,19.6551505,60.008,19.03329495,64.053,11.04890204,58.989,100.00428383333333,100.00029808333333,1.3340660833333333,100.02196741666667,100.05638991666666,11.36834725,100.00527441666667,100.01181274999999,5.637016416666667,100.01347750000001,100.01196266666666,4.981423416666666,100.00330316666667,100.01352833333334,-3.3742622499999997
2016,22.66058553,64.32,11.63478833,62.526,21.43670362,60.81,18.92929803,64.749,,59.76,102.81936225,102.69347108333334,2.6914634166666667,106.32060016666667,110.14473291666667,10.096866916666666,106.73421166666667,110.78931108333335,10.752243666666667,106.61727574999999,111.66302641666668,11.629826333333334,98.45958258333333,96.76081749999999,-3.2364965
2017,21.47628852,65.42,11.80492321,62.725,22.48017555,61.661,21.09029096,65.422,,60.263,106.22091566666667,106.22928291666666,3.452783333333333,114.83225499999999,124.87691033333333,13.508745083333332,113.29388275000001,116.98048975,5.686487083333333,112.14664666666665,119.29441308333332,6.9026353333333335,99.33977433333332,99.20767649999999,2.5349850000000003
2018,,66.371,,62.825,23.70016904,62.579,22.35154252,65.726,,60.906,109.66036541666666,105.682945,-0.51226775,120.21766550000001,126.59011724999999,1.4073664166666668,118.15599275,120.71992483333334,3.195846,117.2043175,123.05011116666667,3.149937583333333,109.88853158333332,113.94743775,14.589943083333333
2019,21.49654802,67.167,10.49755955,62.939,25.89665112,63.546,22.24424651,66.071,,61.06,112.70109866666667,107.160076,1.4015651666666666,126.51663608333332,136.94177666666667,8.239073916666667,122.55422441666667,125.89829941666666,4.30225775,122.01303566666667,127.41776025,3.5480257500000003,390.439437,519.8769425,324.18259616666666
2020,22.40178705,67.643,,61.596,25.98704841,64.071,22.61487426,65.15,,61.53,114.83155416666666,111.15950258333334,3.7303901666666666,133.35506516666666,149.34021525,9.194129083333333,125.26191591666667,132.47849449999998,5.228661166666666,125.95697100000001,133.009311,4.385099583333333,2565.9750763333336,3644.4425676666665,728.5895881666667
2021,21.2032905,63.303,,61.225,26.60573457,60.85,22.343129,62.01,,60.135,123.1464815,119.09338266666667,7.13566625,141.50030716666666,162.03378216666667,8.503890583333334,129.79252083333333,140.06949899999998,5.735919916666667,131.77460274999999,141.12065908333332,6.098591666666667,5094.643572083333,7500.208767666667,156.98910116666667
2022,20.70956137,68.749,,63.549,26.10926547,64.19,23.72710362,65.454,,62.36,137.51221733333333,130.91742441666665,9.936127666666666,152.3390365,182.62932225,12.673821333333334,137.68556875,150.820907,7.6516655,141.051367,154.22360583333332,9.2504165,10428.998817,18748.0494375,144.82083483333335
2023,20.56582325,69.163,8.676767301,63.646,,67.385,23.4937688,66.139,,62.775,144.48080775,146.2376755,11.938615583333332,164.02556783333333,200.29338791666666,9.758496166666667,145.78139025,167.880531,11.381434,149.62058158333335,170.91426466666667,10.904351166666666,19918.589875,38837.42558083333,115.15471425
2024,21.40879085,69.293,10.41859625,63.834,,67.516,,66.312,7.749129578,63.064,,,,,,,,,,,,,,,
